152.884180094,4.913692114,608.159506346,564.119665435,130.991598052,181.439542865,2.824529262,5.322943014,1.496873326,1.642191492,107.033865412,2.487272647,2.113536895,1.644223406,1.70602175,1.655469192,57.543838193
151.644822494,4.713244974,583.282955204,551.824611271,140.189067108,179.89816989,2.725715731,5.314434943,1.572621763,1.364312407,106.229997854,2.362847431,1.97570413,1.702293841,1.463908739,1.777395579,56.70326709
153.528791645,4.570978803,584.79424284,557.002058271,150.082498295,180.73748235,2.841137536,5.158488324,1.572881887,1.443600822,106.601434647,2.534171079,1.95587663,1.840056231,1.567183894,1.451743427,57.222967624
165.172305413,4.16760746,660.703868606,553.370047343,133.507350205,179.463118924,2.77214436,5.360326875,1.589688002,1.594044098,107.161048071,2.61181367,2.180347681,1.735565617,1.422338778,1.488002958,56.588476401
151.822659193,4.830721534,594.239290769,566.86308388,152.145792691,181.560210124,2.707682526,5.449279613,1.448145808,1.455929217,107.74954366,2.480952174,1.937467952,2.002168005,1.644745967,1.467355071,57.694424179
===============(NEWPArams)

155.520495552,3.953222072,587.049906888,578.110126623,167.684791098,184.603617821,2.68141297,5.610647473,1.669375247,1.748774183,109.291426742,2.656754239,1.705269651,1.675636823,1.666461703,1.614681009,59.399536472
155.362645969,4.361680958,569.298193615,570.986148777,130.068922448,185.31422806,2.842438011,5.657474921,1.485914056,1.440148228,109.180776376,2.745185294,1.737259598,1.747772126,1.559034659,1.539522559,59.646051075
155.483821831,4.412573973,553.10182896,572.71251283,137.538689657,185.339787156,2.58058588,5.629356605,1.679419664,1.72897526,108.708400284,2.439147586,1.781596838,1.900611217,1.448951877,1.744934839,59.207200985
151.391656258,4.330374521,536.524587491,565.123378095,146.299203343,178.873563219,2.723256634,5.549747044,1.54505998,1.661480927,107.067123332,2.5100803,1.933980008,1.627552843,1.502841408,1.630129268,57.865269111
151.604295796,3.80471962,558.864529634,564.990008202,148.392116847,181.326089567,2.861453106,5.736510509,1.816567254,1.714352132,107.78796916,2.551584772,1.904954983,1.703781498,1.463221209,1.540275302,59.150784421
